"CODE","it"
"AVO_MOD_VO11","Capacità di Pazienti: "
"AVO_MOD_VO12","Capacità di salme: "
"AVO_MOD_VO13","Tasso di Criminalità: "
"AVO_MOD_VO14","Capacità Antincendio: "
"AVO_MOD_VO15","Tasso di Efficenza: "
"AVO_MOD_VO16","Capacità di Denaro: "
"AVO_MOD_MP00","Tutti i veicoli"
"AVO_MOD_MP01","Auto private"
"AVO_MOD_MP02","Biciclette private"
"AVO_MOD_MP03","Industria - Forestale"
"AVO_MOD_MP04","Industria - Agricoltura"
"AVO_MOD_MP05","Industria - Mineraria"
"AVO_MOD_MP06","Industria - Petrolifera"
"AVO_MOD_MP07","Industria - Ittica"
"AVO_MOD_MP08","Industria - Consegne"
"AVO_MOD_MP09","Industria - Fabbriche"
"AVO_MOD_MP10","Polizia"
"AVO_MOD_MP11","Prigione"
"AVO_MOD_MP12","Sicurezza Antincendio"
"AVO_MOD_MP13","Risposta ai Disastri"
"AVO_MOD_MP14","Salute"
"AVO_MOD_MP15","Servizi Funebri"
"AVO_MOD_MP16","Rifiuti"
"AVO_MOD_MP17","Trasferimento Rifiuti"
"AVO_MOD_MP18","Manutenzione"
"AVO_MOD_MP19","Servizio Postale"
"AVO_MOD_MP20","Servizio bancario"
"AVO_MOD_MP21","Autobus"
"AVO_MOD_MP22","Autobus interurbano"
"AVO_MOD_MP23","Filobus"
"AVO_MOD_MP24","Taxi"
"AVO_MOD_MP25","Metropolitana"
"AVO_MOD_MP26","Tram"
"AVO_MOD_MP27","Monotaia"
"AVO_MOD_MP28","Funivia"
"AVO_MOD_MP29","Treno - Merci"
"AVO_MOD_MP30","Treno - Passeggeri"
"AVO_MOD_MP31","Nave - Merci"
"AVO_MOD_MP32","Nave - Crociera"
"AVO_MOD_MP33","Nave - Traghetto merci"
"AVO_MOD_MP34","Nave - Traghetto passeggeri"
"AVO_MOD_MP35","Aereo - Merci"
"AVO_MOD_MP36","Aereo - Passeggeri"
"AVO_MOD_MP37","Elicottero - Merci"
"AVO_MOD_MP38","Elicottero - Passeggeri"
"AVO_MOD_MP39","Dirigibile"
"AVO_MOD_MP40","Traffico aereo locale"
"AVO_MOD_MP41","Turismo + Tour"
"AVO_MOD_MP42","Sito di lancio"
"AVO_MOD_MP43","Naturale"
"AVO_MOD_MP44","Seleziona una categoria di veicoli da visualizzare - Suggerimento: usa la rotellina del mouse per passare più velocemente da una categoria all'altra."
"AVO_MOD_MP45","Digita il nome di un tipo di veicolo"
"AVO_MOD_MP46","Azioni per la configurazione del veicolo:"
"AVO_MOD_MP47","Importa"
"AVO_MOD_MP48","Carica una configurazione veicolo esistente"
"AVO_MOD_MP49","Esporta"
"AVO_MOD_MP50","Salva la configurazione veicolo attuale"
"AVO_MOD_MP51","Ripristina tutto"
"AVO_MOD_MP52","Ripristina configurazione completa"
"AVO_MOD_MP53","Dati veicolo - Salvataggio automatico attivo"
"AVO_MOD_MP54","Il salvataggio automatico dei dati di configurazione del veicolo è abilitato. Tutte le modifiche verranno salvate immediatamente nel file di configurazione esterno."
"AVO_MOD_MP55","Clicca qui per scorrere i veicoli esistenti di quel tipo. Tieni premuto il tasto Shift per zoomare direttamente sul veicolo."
"AVO_MOD_MP56","Clicca qui per rimuovere il veicolo selezionato."
"AVO_MOD_MP57","Conferma ripristino configurazione"
"AVO_MOD_MP58","Le impostazioni personalizzate per tutti i veicoli saranno ripristinate. Procedere con il ripristino della configurazione?"
"AVO_MOD_MP59","Tutte le configurazioni dei veicoli e le impostazioni personalizzate sono state ripristinate ai valori predefiniti del gioco."
"AVO_MOD_MP60","Cerca :"
"AVO_MOD_MP61","Categoria :"
"AVO_MOD_OP01","km/h"
"AVO_MOD_OP02","mph"
"AVO_MOD_OP03"," Attenzione: Improved Public Transport è attivo e può sovrascrivere questa impostazione."
"AVO_MOD_OP04"," Attenzione: Transport Lines Manager è attivo e può sovrascrivere questa impostazione."
"AVO_MOD_OP05","Azioni per: "
"AVO_MOD_OP06","Velocità massima: "
"AVO_MOD_OP07","Cambiare la velocità massima del veicolo. Si prega di notare che i veicoli
non andranno oltre i limiti di velocità della rete che stanno utilizzando."
"AVO_MOD_OP08","Accelerazione/Freno/Svolta: "
"AVO_MOD_OP09","Cambia il fattore di accelerazione del veicolo.
Definisce quanto velocemente accelera l'auto."
"AVO_MOD_OP10","Cambia il fattore di decelerazione del veicolo.
Definisce quanto velocemente la vettura frena."
"AVO_MOD_OP11","Cambia il fattore di svolta del veicolo.
Definisce quanto curva bene l'auto."
"AVO_MOD_OP12","Sospensioni/Ammortizzatori"
"AVO_MOD_OP13","Cambia il fattore Sospension del veicolo.
Definisce quanto si muovono le sospensioni."
"AVO_MOD_OP14","Cambia il fattore degli ammortizzatori del veicolo.
Definisce quanto velocemente la sospensione ritorna allo stato predefinito."
"AVO_MOD_OP15","Moltiplicatore Rollio/Beccheggio: "
"AVO_MOD_OP16","Cambia il fattore di moltiplicazione del rollio.
Definisce quanto il veicolo si appoggia sui lati durante la svolta."
"AVO_MOD_OP17","Cambia il fattore di moltiplicazione del beccheggio.
Definisce quanto il veicolo beccheggia in avanti/indietro durante la frenata o l'accelerazione."
"AVO_MOD_OP18","Abilita le variazioni di colore:"
"AVO_MOD_OP19","Abilita le variazioni di colore del veicolo.
Viene scelto un colore casuale tra i quattro seguenti colori."
"AVO_MOD_OP20","I colori sono gestiti da Vehicle / Asset Color Expander"
"AVO_MOD_OP21","Permetti a questo veicolo di essere generato"
"AVO_MOD_OP22","Assicurati di avere almeno un veicolo
autorizzato a essere generato per questa categoria."
"AVO_MOD_OP23","Sostituisci l'ultima carrozza con una motrice"
"AVO_MOD_OP24","Rendi l'ultima carrozza di questo treno in una motrice."
"AVO_MOD_OP25","Contrassegna come veicolo di grandi dimensioni"
"AVO_MOD_OP26","Impedisci ai veicoli con rimorchio di consegnare ai piccoli edifici.
Questa funzione è controllata dalla mod No Big Trucks."
"AVO_MOD_OP27","Modificare la capacità del veicolo."
"AVO_MOD_OP28","Capacità Speciale: "
"AVO_MOD_OP29","Cambia i parametri speciali del veicolo."
"AVO_MOD_OP30","Se non sai cos'è questo valore:
Non toccarlo! Clicca per la guida all'utente: Capacità speciale."
"AVO_MOD_OP31","Gestisci la generazione in Transport Line Overview"
"AVO_MOD_OP32","Aprire Transport Line Overview 
e gestisci la generazione del veicolo."
"AVO_MOD_OP33","Clicca per la guida all'utente: Spawn Control (Controllo generazione)"
"AVO_MOD_OP34","La generazione dei rimorchi 
è controllata dal veicolo principale. Le impostazioni 
devono essere configurate dal pannello panoramica 
delle linee di trasporto."
"AVO_MOD_OP35","Valori predefiniti"
"AVO_MOD_OP36","Ripristina tutti i valori predefiniti"
"AVO_MOD_OP37","Azioni globali per: "
"AVO_MOD_OP38","Rimuovi circolanti"
"AVO_MOD_OP39","Rimuovere tutti i veicoli circolanti di questo tipo.
Tenere premuto il tasto Maiusc per rimuovere tutti i tipi."
"AVO_MOD_OP40","Rimuovi Parcheggiati"
"AVO_MOD_OP41","Rimuovere tutti i veicoli parcheggiati di questo tipo.
Tenere premuto il tasto Maiusc per rimuovere tutti i tipi."
"AVO_MOD_OP42"," potrebbe non funzionare correttamente perché nessun veicolo è autorizzato a essere generato."
"AVO_MOD_OP43","Dimensioni supporto: "
"AVO_MOD_OP44","Piccolo"
"AVO_MOD_OP45","Medio"
"AVO_MOD_OP46","Grande"
"AVO_MOD_OP47","Cargo"
"AVO_MOD_OP48","Sincronizza motore con rimorchio"
"AVO_MOD_OP49","Se abilitato, le proprietà del motore vengono sincronizzate con tutti i rimorchi."
"AVO_MOD_OP50","La selezione definisce la dimensione della posizione di sosta."
"AVO_MOD_OP51","Clicca per la guida utente: Gli edifici dei servizi cittadini generano solo veicoli base (Vanilla)"
"AVO_MOD_WM01","Avviso"
"AVO_OPT_SYNC","Ricorda l'impostazione di sincronizzazione motore/rimorchio"
"AVO_OPT_SYNC_TT","Se abilitato, l'impostazione per la sincronizzazione tra 
motore e rimorchio verrà memorizzata, altrimenti ogni sincronizzazione 
sarà valida una sola volta. (Predefinito: disabilitato)"
