"CODE","ja"
"AVO_MOD_MP37","ヘリコプター - 貨物"
"AVO_MOD_MP38","ヘリコプター - 乗客"
"AVO_MOD_MP39","飛行船"
"AVO_MOD_MP40","ローカル航空交通"
"AVO_MOD_MP41","観光 + ツアー"
"AVO_MOD_MP42","打ち上げ場"
"AVO_MOD_MP43","自然"
"AVO_MOD_MP44","表示する乗り物カテゴリーを選択してください - ヒント：マウスホイールを使用すると、カテゴリーを素早く切り替えることができます。"
"AVO_MOD_MP45","乗り物の種類の名前を入力"
"AVO_MOD_MP46","乗り物設定のアクション："
"AVO_MOD_MP47","インポート"
"AVO_MOD_MP48","既存の乗り物設定を読み込む"
"AVO_MOD_MP49","エクスポート"
"AVO_MOD_MP50","現在の乗り物設定を保存"
"AVO_MOD_MP51","すべてリセット"
"AVO_MOD_MP52","すべての設定をリセット"
"AVO_MOD_MP53","乗り物データ - オートセーブ有効"
"AVO_MOD_MP54","乗り物設定データのオートセーブが有効です。すべての変更は直ちに外部設定ファイルに保存されます。"
"AVO_MOD_MP55","ここをクリックすると、その種類の既存の乗り物を順に表示します。Shiftキーを押しながらクリックすると、その乗り物へ直接ズームします。"
"AVO_MOD_MP56","ここをクリックして、選択した乗り物を削除します。"
"AVO_MOD_MP57","設定リセットの確認"
"AVO_MOD_MP58","すべての乗り物のカスタム設定がリセットされます。設定のリセットを続行しますか？"
"AVO_MOD_MP59","すべての乗り物設定とカスタム設定がゲームのデフォルト値にリセットされました。"
"AVO_MOD_MP60","検索："
"AVO_MOD_MP61","カテゴリー："
"AVO_MOD_OP01","km/h"
"AVO_MOD_OP02","mph"
"AVO_MOD_OP03"," 警告: Improved Public Transportが有効で、この設定が上書きされる場合があります"
"AVO_MOD_OP04"," 警告: Transport Lines Managerが有効で、この設定が上書きされる場合があります"
"AVO_MOD_OP05","操作の対象: "
"AVO_MOD_OP06","最高速度: "
"AVO_MOD_OP07","車両の最高速度をデフォルトから変更します
車両は走行中のネットワークにある速度制限を超えることはありません"
"AVO_MOD_OP08","アクセル/ブレーキ/ターン: "
"AVO_MOD_OP09","車両のアクセルに関する係数を変更します
車両の加速時の速さを定義します"
"AVO_MOD_OP10","車両のブレーキに関する係数を変更します
車両のブレーキの強さを定義します"
"AVO_MOD_OP11","車両のターンに関する係数を変更します
車両のコーナーリング性能を定義します"
"AVO_MOD_OP12","スプリング/ダンパー"
"AVO_MOD_OP13","車両のスプリングに関する係数を変更します
サスペンションがどのくらい上下に動くか定義します"
"AVO_MOD_OP14","車両のダンパーに関する係数を変更します
サスペンションがデフォルト状態に戻る速さを定義します"
"AVO_MOD_OP15","リーン/ノッドの倍率: "
"AVO_MOD_OP16","車両のリーンに関する乗算係数を変更します
コーナーリング時に車両が左右にどれだけ傾くか定義します"
"AVO_MOD_OP17","車両のノッドに関する乗算係数を変更します
ブレーキ時や加速時に車両が前後にどれだけ傾くか定義します"
"AVO_MOD_OP18","カラーバリエーションを有効化:"
"AVO_MOD_OP19","車両のカラーバリエーションを有効化します
以下の4色の間でランダムなカラーが選択されます"
"AVO_MOD_OP20","Vehicle/Asset Color Expanderによって、カラーを管理中です"
"AVO_MOD_OP21","車両のスポーンを許可"
"AVO_MOD_OP22","選択中のカテゴリ内でスポーンできる車両が、
最低でも1種類あることを確認してください"
"AVO_MOD_OP23","最後尾の車両をエンジン車に変更"
"AVO_MOD_OP24","列車最後尾の車両をエンジン車 (先頭車両) に変更します"
"AVO_MOD_OP25","大型トラックとして指定"
"AVO_MOD_OP26","トレーラー付きのトラックが、小さな建物への配送を防止します
この機能は、No Big Trucks MODで制御されます"
"AVO_MOD_OP27","車両の積載量や定員などを変更します"
"AVO_MOD_OP28","特殊な積載量: "
"AVO_MOD_OP29","車両独自の特殊なパラメータを変更します"
"AVO_MOD_OP30","この数値が分からない場合は変更しないでください
クリックでユーザーガイド: 特殊な容量"
"AVO_MOD_OP31","公共交通の概要でスポーンを管理"
"AVO_MOD_OP32","公共交通の概要を開いて、
車両のスポーンを管理します"
"AVO_MOD_OP33","クリックでユーザーガイド: スポーンの制御"
"AVO_MOD_OP34","トレーラーの生成はメインの車両によって制御されます。
設定は「公共交通機関の路線一覧」パネルから行う必要があります。"
"AVO_MOD_OP35","既定値"
"AVO_MOD_OP36","全ての数値を既定に戻す"
"AVO_MOD_OP37","都市全体が対象: "
"AVO_MOD_OP38","走行車両を除去"
"AVO_MOD_OP39","指定タイプの走行車両を全て削除します
全ての走行車両を削除する場合は、SHIFT キーを押し続けます"
"AVO_MOD_OP40","駐車車両を除去"
"AVO_MOD_OP41","指定タイプの駐車車両を全て削除します
全ての駐車車両を削除する場合は、SHIFT キーを押し続けます"
"AVO_MOD_OP42"," 車両のスポーンが許可されていないため、正しく機能しない可能性があります"
"AVO_MOD_OP43","駐機場のサイズ: "
"AVO_MOD_OP44","小型"
"AVO_MOD_OP45","中型"
"AVO_MOD_OP46","大型"
"AVO_MOD_OP47","貨物"
"AVO_MOD_OP48","エンジンとトレーラーを同期"
"AVO_MOD_OP49","有効にすると、エンジンのプロパティがすべてのトレーラーに同期されます。"
"AVO_MOD_OP50","選択により、停止位置のサイズが定義されます。"
"AVO_MOD_OP51","ユーザーガイドを表示：公共サービス施設はバニラの車両のみを生成します"
"AVO_MOD_WM01","警告"
"AVO_OPT_SYNC","エンジン/トレーラーの同期設定を記憶する"
"AVO_OPT_SYNC_TT","有効にすると、エンジンとトレーラー間の同期設定が記憶されます。
無効な場合、同期は一回限りとなります。（デフォルト：無効）"
