"CODE","zh_CN"
"AVO_MOD_MP37","直升机 - 货运"
"AVO_MOD_MP38","直升机 - 客运"
"AVO_MOD_MP39","飞艇"
"AVO_MOD_MP40","当地空中交通"
"AVO_MOD_MP41","旅游 + 观光"
"AVO_MOD_MP42","发射场"
"AVO_MOD_MP43","自然"
"AVO_MOD_MP44","选择要显示的载具类别 - 提示：使用鼠标滚轮可以更快地切换类别。"
"AVO_MOD_MP45","输入载具类型名称"
"AVO_MOD_MP46","载具配置操作："
"AVO_MOD_MP47","导入"
"AVO_MOD_MP48","加载现有的载具配置"
"AVO_MOD_MP49","导出"
"AVO_MOD_MP50","保存当前载具配置"
"AVO_MOD_MP51","重置全部"
"AVO_MOD_MP52","重置完整配置"
"AVO_MOD_MP53","载具数据 - 自动保存已开启"
"AVO_MOD_MP54","载具配置数据自动保存已启用。所有更改将立即保存到外部配置文件。"
"AVO_MOD_MP55","点击此处循环查看该类型的现有载具。按住 Shift 键可直接缩放至载具。"
"AVO_MOD_MP56","点击此处移除选定的载具。"
"AVO_MOD_MP57","确认重置配置"
"AVO_MOD_MP58","所有载具的自定义设置将被重置。确认重置配置吗？"
"AVO_MOD_MP59","所有载具配置和自定义设置已重置为游戏默认值。"
"AVO_MOD_MP60","搜索："
"AVO_MOD_MP61","类别："
"AVO_MOD_OP01","km/h"
"AVO_MOD_OP02","mph"
"AVO_MOD_OP03","警告：IPT 已启用，该参数可能被覆写"
"AVO_MOD_OP04","警告：TLM 已启用，该参数可能被覆写"
"AVO_MOD_OP05","操作："
"AVO_MOD_OP06","最高速度："
"AVO_MOD_OP07","更改车辆最高速度。请注意，车辆不会超过路网限速"
"AVO_MOD_OP08","加速/刹车/转向："
"AVO_MOD_OP09","更改车辆加速因子。
定义车辆提速速率。"
"AVO_MOD_OP10","更改车辆刹车因子。
定义车辆刹车速率。"
"AVO_MOD_OP11","更改车辆转向因子。
定义车辆转向速率。"
"AVO_MOD_OP12","悬挂/阻尼"
"AVO_MOD_OP13","更改车辆悬挂因子。
定义车辆悬挂行程。"
"AVO_MOD_OP14","更改车辆阻尼因子。
定义车辆恢复平稳速率。"
"AVO_MOD_OP15","侧倾/俯仰比例："
"AVO_MOD_OP16","更改车辆侧倾因子。
定义车辆转向时侧倾角度。"
"AVO_MOD_OP17","更改车辆俯仰因子。
定义车辆加减速时俯仰角度。"
"AVO_MOD_OP18","启用色彩变化："
"AVO_MOD_OP19","启用色彩变化：
车辆会随机选择如下4种颜色"
"AVO_MOD_OP20","颜色由ACE模组控制"
"AVO_MOD_OP21","允许生成该车辆"
"AVO_MOD_OP22","请确保每项中至少有一辆车允许生成"
"AVO_MOD_OP23","更改末尾车厢为牵引车头"
"AVO_MOD_OP24","更改这列火车的最后一节为牵引车头"
"AVO_MOD_OP25","标记为大型车"
"AVO_MOD_OP26","禁止带挂车的车辆向小型建筑运送货物，该内容由NBC模组控制"
"AVO_MOD_OP27","更改车辆容量"
"AVO_MOD_OP28","特殊容量："
"AVO_MOD_OP29","更改该车辆的特定参数"
"AVO_MOD_OP30","如果你不知道这项参数的作用：
不要修改！点击查看使用指南：特殊容量"
"AVO_MOD_OP31","在TLM界面修改车辆生成规则"
"AVO_MOD_OP32","打开交通线路面板并管理车辆生成"
"AVO_MOD_OP33","点击查看指南：生成控制"
"AVO_MOD_OP34","拖车生成由主载具控制。必须通过交通线路概览面板进行设置。"
"AVO_MOD_OP35","默认参数"
"AVO_MOD_OP36","重置全部数值为默认值"
"AVO_MOD_OP37","全局操作："
"AVO_MOD_OP38","移除行驶中的车辆"
"AVO_MOD_OP39","移除全部选中类型的行驶中的车辆。按住Shift移除全部类型"
"AVO_MOD_OP40","移除停靠车辆"
"AVO_MOD_OP41","移除全部选中类型的停靠的车辆，按住Shift移除全部类别"
"AVO_MOD_OP42","服务可能无法正常工作因为禁止了任何车辆生成"
"AVO_MOD_OP43","机位大小："
"AVO_MOD_OP44","小型"
"AVO_MOD_OP45","中型"
"AVO_MOD_OP46","大型"
"AVO_MOD_OP47","货机"
"AVO_MOD_OP48","引擎与拖车同步"
"AVO_MOD_OP49","如果启用，引擎属性将同步到所有拖车。"
"AVO_MOD_OP50","选择决定了停靠位置的大小。"
"AVO_MOD_OP51","点击查看用户指南：城市服务建筑仅生成原版载具"
"AVO_MOD_WM01","警告"
"AVO_OPT_SYNC","记住引擎/拖车同步设置"
"AVO_OPT_SYNC_TT","如果启用，将记住引擎与拖车之间的同步设置，否则每次同步仅限一次。（默认：禁用）"
