"CODE","de"
"AVO_MOD_CAT19","Post"
"AVO_MOD_CAT20","Werttransport"
"AVO_MOD_CAT21","Bus"
"AVO_MOD_CAT22","Intercity-Bus"
"AVO_MOD_CAT23","Trolley-Bus"
"AVO_MOD_CAT24","Taxi"
"AVO_MOD_CAT25","Metro"
"AVO_MOD_CAT26","Tram"
"AVO_MOD_CAT27","Monorail"
"AVO_MOD_CAT28","Seilbahn"
"AVO_MOD_CAT29","Eisenbahn - Fracht"
"AVO_MOD_CAT30","Eisenbahn - Passagiere"
"AVO_MOD_CAT31","Schiff - Fracht"
"AVO_MOD_CAT32","Schiff - Passagiere"
"AVO_MOD_CAT33","Schiff - Frachtfähre"
"AVO_MOD_CAT34","Schiff - Passagierfähre"
"AVO_MOD_CAT35","Flugzeug - Fracht"
"AVO_MOD_CAT36","Flugzeug - Passagiere"
"AVO_MOD_CAT37","Hubschrauber - Fracht"
"AVO_MOD_CAT38","Hubschrauber - Passagier"
"AVO_MOD_CAT39","Luftschiff"
"AVO_MOD_CAT40","Lokaler Flugverkehr"
"AVO_MOD_CAT41","Tourismus + Touren"
"AVO_MOD_CAT42","Rennwagen + Paraden"
"AVO_MOD_CAT43","Rennräder"
"AVO_MOD_CAT44","Abschussrampe"
"AVO_MOD_CAT45","Natur"
"AVO_MOD_MP45","Fahrzeugname eingeben"
"AVO_MOD_MP46","Aktionen für die Fahrzeugkonfiguration:"
"AVO_MOD_MP47","Import"
"AVO_MOD_MP48","Lade vorhandene Fahrzeugkonfiguration"
"AVO_MOD_MP49","Export"
"AVO_MOD_MP50","Sichere die aktuelle Fahrzeugkonfiguration"
"AVO_MOD_MP51","Reset"
"AVO_MOD_MP52","Standardeinstellungen aller Fahrzeuge wieder herstellen"
"AVO_MOD_MP53","Fahrzeugdaten -
Autosave aktiviert"
"AVO_MOD_MP54","Autospeichern der Fahrzeugkonfigurationsdaten ist aktiviert. Alle 
Änderungen werden sofort in der Konfigurationsdatei gespeichert."
"AVO_MOD_MP55","Hier klicken, um durch alle Fahrzeuge dieses Typs zu springen.

Es werden nur Fahrzeuge berücksichtigt, die sich in Bereichen
befinden, die dem Spieler gehören. Shift Key gedrückt halten,
um direkt zu jedem Fahrzeug zu zoomen."
"AVO_MOD_MP56","Hier klicken, um das ausgewählte Fahrzeug aus der Spielwelt zu entfernen."
"AVO_MOD_MP57","Bestätigung erforderlich"
"AVO_MOD_MP58","Alle geänderten Fahrzeugwerte werden zurückgesetzt. Fortfahren ?"
"AVO_MOD_MP59","Die Fahrzeugkonfiguration und alle geänderten Werte wurden auf die Standardeinstellungen der Fahrzeugeinheiten zurückgesetzt."
"AVO_MOD_MP60","Suche :"
"AVO_MOD_MP61","Kategorie:"
"AVO_MOD_MP62","Wählen Sie eine Kategorie für die Anzeige aus - Tipp: Benutze
das Mausrad um schneller zwischen den Kategorien zu wechseln."
"AVO_MOD_OP01","km/h"
"AVO_MOD_OP02","mph"
"AVO_MOD_OP03"," Achtung: Improved Public Transport ist aktiv und kann diese Einstellung überschreiben."
"AVO_MOD_OP04"," Achtung: Transport Lines Manager ist aktiv und kann diese Einstellung überschreiben."
"AVO_MOD_OP05","Aktion für: "
"AVO_MOD_OP06","Höchstgeschw.: "
"AVO_MOD_OP07","Ändert die Höchstgeschwindigkeit. 

Wichtig: Fahrzeuge werden nie schneller fahren als die Geschwindigkeits-
begrenzung des Netzwerks, auf welchem das Fahrzeug unterwegs ist."
"AVO_MOD_OP08","Beschl./Bremsen/Abbiegen: "
"AVO_MOD_OP09","Ändere den Beschleunigungsfaktor des Fahrzeugs.
Definiert, wie schnell das Auto beschleunigt."
"AVO_MOD_OP10","Ändern Sie den Faktor für das Abbremsen.
Legt fest, wie stark das Fahrzeug abbremst."
"AVO_MOD_OP11","Ändert den Faktor für das Abbiegen.
Definiert, wie gut das Fahrzeug um Kurven geht."
"AVO_MOD_OP12","Federung/Dämpfer"
"AVO_MOD_OP13","Ändert den Faktor für Federung.
Definiert, wie stark die Federung anspricht."
"AVO_MOD_OP14","Ändert den Faktor für Dämpfer.
Definiert, wie schnell die Federung wieder 
in Ausgangslage zurückkehrt."
"AVO_MOD_OP15","Neigung/Wipp-Multiplikator: "
"AVO_MOD_OP16","Ändert den Faktor für Neigung.
Definiert, wie stark sich das Fahrzeug zur
Seite neigt, wenn es in eine Kurve fährt."
"AVO_MOD_OP17","Ändert den Faktor für Wippen.
Definiert, wie stark das Fahrzeug vorwärts/rückwärts
wippt, wenn es beschleunigt oder abbremst."
"AVO_MOD_OP18","Aktiviere Farbvariationen:"
"AVO_MOD_OP19","Aktiviere die Farbvariationen
Eine Zufallsfarbe wird aus den vier unterhalb
angezeigten Farben für Fahrzeuge ausgewählt."
"AVO_MOD_OP20","Farben werden durch den Vehicle/Asset Color Expander festgelegt"
"AVO_MOD_OP21","Fahrzeug erscheint im Spiel"
"AVO_MOD_OP22","Stelle sicher, dass mindestens ein Fahrzeug
in jeder Kategorie im Spiel erscheinen kann."
"AVO_MOD_OP23","Ersetze den letzten Waggon mit Lokomotive"
"AVO_MOD_OP24","Der letzte Waggon des Zuges wird mit einer Lokomotive ersetzt."
"AVO_MOD_OP25","Markierte als Grosses Fahrzeug"
"AVO_MOD_OP26","Verhindert, dass Fahrzeuge mit Anhänger an kleine Gebäude liefern.
Dieses Verhalten wird durch No Big Trucks kontrolliert."
"AVO_MOD_OP27","Kapazität des Fahrzeugs ändern."
"AVO_MOD_OP28","Spezielle Kapazität: "
"AVO_MOD_OP29","Ändert erweiterte Parameter dieses Fahrzeugs."
"AVO_MOD_OP30","Wenn Du nicht weisst, was das hier ist: Nicht ändern!
Mehr Information im User Guide: Special Capacity."
"AVO_MOD_OP31","Konfiguriere im Transport Line Overview"
"AVO_MOD_OP32","Öffnet die Übersicht aller Transportlinien, um 
die Nahverkehrsfahrzeuge konfigurieren."
"AVO_MOD_OP33","Hier klicken für den User Guide: Spawn Control"
"AVO_MOD_OP34","Bus-Anhänger werden durch das Hauptfahrzeug kontrolliert. Die Einstellungen
für Busse müssen in der Transportlinien-Übersicht konfiguriert werden."
"AVO_MOD_OP35","Standardwerte"
"AVO_MOD_OP36","Alle Fahrzeugwerte für dieses Fahrzeug auf Standard zurücksetzen"
"AVO_MOD_OP37","Globale Aktion für: "
"AVO_MOD_OP38","Entf. fahrende"
"AVO_MOD_OP39","Entferne alle fahrenden Fahrzeuge dieses Fahrzeugtyps.

SHIFT Taste gedrückt halten, um alle fahrenden Fahrzeuge
unabhängig vom gewählten Typ zu entfernen."
"AVO_MOD_OP40","Entf. geparkte"
"AVO_MOD_OP41","Entferne alle geparkten Fahrzeuge dieses Fahrzeugtyps.

SHIFT Taste gedrückt halten, um alle fahrenden Fahrzeuge 
unabhängig vom gewählten Fahrzeugtyp zu entfernen."
"AVO_MOD_OP42"," wird nicht korrekt funktionieren, da keine Fahrzeuge aktiviert worden sind."
"AVO_MOD_OP43","Parkposition: "
"AVO_MOD_OP44","Klein"
"AVO_MOD_OP45","Mittel"
"AVO_MOD_OP46","Groß"
"AVO_MOD_OP47","Fracht"
"AVO_MOD_OP48","Synchronisierung
Zugmaschine/Anhänger"
"AVO_MOD_OP49","Wenn aktiviert"," the engine properties are synchronize to all trailers."
"AVO_MOD_OP50","Auswahl definiert die Größe der Parkposition."
"AVO_MOD_OP51","Klick für Benutzerhandbuch: City Service Buildings spawnen nur Vanilla Fahrzeuge"
"AVO_MOD_WM01","Warnung / Achtung"
"AVO_OPT_SYNC","Behalte Status Anhänger-Synchronisierung"
"AVO_OPT_SYNC_TT","Falls aktiviert, bleibt der Status für die Synchronisierung Lokomotive/Anhänger für weitere 
Anpassungen aktiviert, ansonsten ist jede Synchronisierung einmalig. (Standard: deaktiviert)"
