"CODE","es"
"AVO_OPT_COMP_NBT_TT","Si está habilitado, los camiones de reparto se pueden etiquetar como vehículos grandes. Despacho
será bloqueado por No Big Trucks (por MacSergey). (predeterminado: activado)"
"AVO_OPT_COMP_TRL","Referencias de compatibilidad de vehículos con remolque actualizadas por última vez:"
"AVO_OPT_COMP_TRL_TT","Este campo muestra la fecha de revisión de la lista de vehículos para el Bus,
Remolques de trolebuses, bomberos y policías, que son en la vida real
remolques de la industria, pero han sido recategorizados por AVO."
"AVO_OPT_SUP","Soporte"
"AVO_OPT_SUP_WIKI","Abra el wiki de opciones avanzadas de vehículos"
"AVO_OPT_SUP_XMLEDIT","Actualización en lote - Editor de configuración XML"
"AVO_OPT_SUP_OPENXML","Abrir editor XML de configuración"
"AVO_OPT_SUP_LOG","Abrir la carpeta de registros de Cities:Skylines (output_log.txt)"
"AVO_OPT_SUP_SET","Abrir carpeta con archivos de configuración de Mod"
"AVO_OPT_SUP_SET_TT","Busque estos archivos para la copia de seguridad:
Ajustes de modificación - AdvancedVehicleOptions_Settings.xml
Modificar datos del vehículo - AdvancedVehicleOptions_VehicleData.xml"
"AVO_OPT_SUP_CROWDIN","Soporte / Corrección de traducciones en Crowdin"
"AVO_MOD_CAPA","Capacidad: "
"AVO_MOD_BGUIDESC","Modificar diversas propiedades del vehículo"
"AVO_MOD_AV01","Su configuración ha sido exportada. El archivo de configuración se puede encontrar aquí: "
"AVO_MOD_AV02","Los siguientes servicios pueden no funcionar correctamente porque no hay vehículos habilitados para aparecer:"
"AVO_MOD_VO01","Capacidad de lucha contra incendios: "
"AVO_MOD_VO02","Capacidad de criminales: "
"AVO_MOD_VO03","Velocidad de bombeo: "
"AVO_MOD_VO04","Distancia de viaje: "
"AVO_MOD_VO05","Tasa de Pesca: "
"AVO_MOD_VO06","Capacidad no especificada: "
"AVO_MOD_VO07","Capacidad de pasajeros: "
"AVO_MOD_VO08","Capacidad de carga: "
"AVO_MOD_VO09","Capacidad de correo: "
"AVO_MOD_VO10","Capacidad de mantenimiento: "
"AVO_MOD_VO11","Capacidad de pacientes: "
"AVO_MOD_VO12","Capacidad de cadáveres: "
"AVO_MOD_VO13","Tasa de combate contra criminalidad: "
"AVO_MOD_VO14","Tasa de lucha contra incendios: "
"AVO_MOD_VO15","Tasa de eficiencia: "
"AVO_MOD_CAT00","Todos los vehículos"
"AVO_MOD_CAT01","Ciudadano - Carros"
"AVO_MOD_CAT02","Ciudadano - Bicicleta"
"AVO_MOD_CAT03","Industria - Forestal"
"AVO_MOD_CAT04","Industria - Agricultura"
"AVO_MOD_CAT05","Industria - Mineral"
"AVO_MOD_CAT06","Industria - Petróleo"
"AVO_MOD_CAT07","Industria - Pesquera"
"AVO_MOD_CAT08","Industria - Genérica"
"AVO_MOD_CAT09","Industria - Fábricas"
"AVO_MOD_CAT10","Policía"
"AVO_MOD_CAT11","Prisión"
"AVO_MOD_CAT12","Seguridad contra incendios"
"AVO_MOD_CAT13","Unidad de respuesta de desastres"
"AVO_MOD_CAT14","Salud"
"AVO_MOD_CAT15","Servicios fúnebres"
"AVO_MOD_CAT16","Basura"
"AVO_MOD_CAT17","Transferencia de residuos"
"AVO_MOD_CAT18","Mantenimiento"
"AVO_MOD_CAT19","Servicio Postal"
"AVO_MOD_CAT20","Servicios bancarios"
"AVO_MOD_CAT21","Autobús"
"AVO_MOD_CAT22","Autobús interurbano"
"AVO_MOD_CAT23","Trolebús"
"AVO_MOD_CAT24","Taxi"
"AVO_MOD_CAT25","Metro"
"AVO_MOD_CAT26","Tranvía"
"AVO_MOD_CAT27","Monorraíl"
"AVO_MOD_CAT28","Teleférico"
"AVO_MOD_CAT29","Tren - Mercancías"
"AVO_MOD_CAT30","Tren - Pasajeros"
"AVO_MOD_CAT31","Barco - Mercancías"
"AVO_MOD_CAT32","Barco - Crucero"
"AVO_MOD_CAT33","Nave - Ferry de Mercancía"
"AVO_MOD_CAT34","Barco - Ferry de Pasajero"
"AVO_MOD_CAT35","Avión - Mercancías"
"AVO_MOD_CAT36","Avión - Pasajeros"
"AVO_MOD_CAT37","Helicóptero - Mercancía"
"AVO_MOD_CAT38","Helicóptero - Pasajero"
"AVO_MOD_CAT39","Dirigible"
"AVO_MOD_CAT40","Tráfico aéreo local"
"AVO_MOD_CAT41","Turismo + Tours"
"AVO_MOD_CAT42","Coches de carreras y desfiles"
"AVO_MOD_CAT43","Bicicletas de carreras"
"AVO_MOD_CAT44","Sitio de aparición"
"AVO_MOD_CAT45","Natural"
"AVO_MOD_MP45","Escriba el nombre de un tipo de vehículo"
"AVO_MOD_MP46","Acciones de configuración del vehículo:"
"AVO_MOD_MP47","Importar"
"AVO_MOD_MP48","Cargar una configuración de vehículo existente"
"AVO_MOD_MP49","Exportar"
"AVO_MOD_MP50","Guardar la configuración actual del vehículo"
"AVO_MOD_MP51","Restablecer todo"
"AVO_MOD_MP52","Restablecer la configuración completa"
"AVO_MOD_MP53","Datos del vehículo -
Autoguardado activo"
"AVO_MOD_MP54","El guardado automático de los datos de configuración del vehículo está habilitado. Todos los cambios
se guardarán inmediatamente en el archivo de configuración externo."
"AVO_MOD_MP55","Haga clic aquí para recorrer los vehículos existentes de ese tipo.
Mantenga presionada la tecla Mayúscula para encender directamente al vehículo."
"AVO_MOD_MP56","Haga clic aquí para quitar el vehículo seleccionado."
"AVO_MOD_MP57","Confirmar restablecer configuración"
"AVO_MOD_MP58","Se reiniciarán los ajustes personalizados para todos los vehículos. ¿Continuar con el restablecimiento de la configuración?"
"AVO_MOD_MP59","Toda la configuración de los vehículos y los ajustes personalizados se han restablecido a los valores por defecto del juego."
"AVO_MOD_MP60","Buscar :"
"AVO_MOD_MP61","Categoría :"
"AVO_MOD_MP62","Seleccione una categoría de vehículo para mostrar - Sugerencia: use el
rueda del ratón para cambiar entre categorías más rápido."
"AVO_MOD_OP01","km/h"
"AVO_MOD_OP02","mph"
"AVO_MOD_OP03"," Advertencia: El mod Improved Public Transport está activo y puede anular esta configuración."
"AVO_MOD_OP04"," Advertencia: El mod Transport Lines Manager está activo y puede anular esta configuración."
"AVO_MOD_OP05","Acción para: "
"AVO_MOD_OP06","Velocidad máxima: "
"AVO_MOD_OP07","Cambia la velocidad máxima del vehículo. Ten en cuenta que los vehículos
no superarán los límites de velocidad de la red que están utilizando."
"AVO_MOD_OP08","Aceleración/Freno/Giro: "
"AVO_MOD_OP09","Cambia el factor de aceleración del vehículo.
Define la rapidez con que se acelera el coche."
"AVO_MOD_OP10","Cambia el factor de frenado del vehículo.
Define qué tan rápido frena el coche."
"AVO_MOD_OP11","Cambia el factor de giro del vehículo.
Define qué tan rápido gira el coche."
"AVO_MOD_OP12","Amortiguador/Supensión"
"AVO_MOD_OP13","Cambia el factor de amortiguación del vehículo.
Define qué tanto se amortigua la suspensión del coche."
"AVO_MOD_OP14","Cambia el factor de amortiguación del vehículo.
Define qué tanto amortigua la suspensión del coche."
"AVO_MOD_OP15","Multiplicador de inlinación: "
"AVO_MOD_OP16","Cambia el factor de inclinación del vehículo.
Define qué tanto se puede inclinar el coche."
"AVO_MOD_OP17","Cambia el factor de inclinación del vehículo.
Define qué tanto se puede inclinar el coche."
"AVO_MOD_OP18","Habilitar variaciones de colores:"
"AVO_MOD_OP19","Habilita las variaciones de color del vehículo.
Se va a elegir un color aleatorio entre los cuatro siguientes colores."
"AVO_MOD_OP20","Los colores son administrados por: Vehicle/Asset Color Expander"
"AVO_MOD_OP21","Permitir que este vehículo aparezca"
"AVO_MOD_OP22","Asegúrate de que tienes al menos un vehículo
permitido para esa categoría."
"AVO_MOD_OP23","Reemplazar el último vagón por un motor"
"AVO_MOD_OP24","Haz que el último vagón de este tren sea un motor."
"AVO_MOD_OP25","Marcar como vehículo grande"
"AVO_MOD_OP26","Evita que los vehículos con trailer se envíen a edificios pequeños.
Esta función está controlada por el mod No Big Trucks."
"AVO_MOD_OP27","Modificar la capacidad del vehículo."
"AVO_MOD_OP28","Capacidad especial: "
"AVO_MOD_OP29","Cambiar los parámetros especiales del vehículo."
"AVO_MOD_OP30","Si no sabes que es este valor no lo toques. Haz clic en Guía de Usuario: Capacidad especial."
"AVO_MOD_OP31","Gestionar la aparición en el menú de líneas"
"AVO_MOD_OP32","Abre la vista general de líneas de transporte 
y gestiona la aparición de los vehículos."
"AVO_MOD_OP33","Haga clic para la Guía del usuario: Control de generación"
"AVO_MOD_OP34","La aprición de los trailers de autobuses está controlado por el vehículo principal de autobús.
Los ajustes deben configurarse desde el panel resumen de la líneas de transporte."
"AVO_MOD_OP35","Valores por defecto"
"AVO_MOD_OP36","Restaurar todos los valores por defecto"
"AVO_MOD_OP37","Acciones globales para: "
"AVO_MOD_OP38","Eliminar vehículos en conducción"
"AVO_MOD_OP39","Elimina todos los vehículos de este tipo.
Mantén pulsada la tecla SHIFT para eliminar todos los tipos."
"AVO_MOD_OP40","Remover estacionados"
"AVO_MOD_OP41","Elimina todos los vehículos de este tipo que están estacionados.
Mantén pulsada la tecla SHIFT para eliminar todos los tipos."
"AVO_MOD_OP42"," puede no funcionar correctamente porque no se permite aparecer ningún vehículo de este tipo."
"AVO_MOD_OP43","Tamaño del soporte: "
"AVO_MOD_OP44","Pequeño"
"AVO_MOD_OP45","Mediano"
"AVO_MOD_OP46","Grande"
"AVO_MOD_OP47","Carga"
"AVO_MOD_OP48","Sincronizar motor
con trailer"
"AVO_MOD_OP49","Si está habilitado"," the engine properties are synchronize to all trailers."
"AVO_MOD_OP50","La selección define el tamaño de la posición del estacionamiento."
"AVO_MOD_OP51","Clic para Guía de Usuario: Edificios de servicios de la ciudad sólo aparecen vehículos Vanilla"
"AVO_MOD_WM01","Advertencia"
"AVO_OPT_SYNC","Recuerde la configuración de sincronización de motor/remolque"
"AVO_OPT_SYNC_TT","If enabled, the setting for synchronization between Engine/Trailer will be
remembered, else each synchronization is onetime only. (default: disabled)"
